Country Code;Country;Region
SVN;Slovenia;Europe
SWE;Sweden;Europe
SYC;Seychelles;Africa
SYR;Syrian Arab Republic;Asia
TGO;Togo;Africa
THA;Thailand;Asia
TJK;Tajikistan;Asia
ZAF;South Africa;Africa
TKM;Turkmenistan;Asia
TLS;Timor-Leste;Asia
TON;Tonga;Oceania
TTO;Trinidad and Tobago;North America
TUN;Tunisia;Africa
TUR;Turkey;Asia
TUV;Tuvalu;Oceania
TZA;Tanzania;Africa
UGA;Uganda;Africa
UKR;Ukraine;Europe
USA;United States;North America
URY;Uruguay;South America
UZB;Uzbekistan;Asia
VUT;Vanuatu;Oceania
VEN;Venezuela;South America
VNM;Vietnam;Asia
YEM;Yemen;Asia
ZMB;Zambia;Africa
ZWE;Zimbabwe;Africa
WLD;World;
UMC;Upper middle income;
SSF;Sub-Saharan Africa;
SSA;Sub-Saharan Africa (excluding high income);
TSS;Sub-Saharan Africa (IDA & IBRD);
SST;Small states;
SAS;South Asia;
TSA;South Asia (IDA & IBRD);
TLA;Latin America & Caribbean (IDA & IBRD);
LDC;Least developed countries: UN classification;
LTE;Late-demographic dividend;
LCN;Latin America & Caribbean;
LAC;Latin America & Caribbean (excluding high income);
LMY;Low & middle income;
LIC;Low income;
LMC;Lower middle income;
IBT;IDA & IBRD total;
IDB;IDA blend;
IDX;IDA only;
IDA;IDA total;
EAR;Early-demographic dividend;
EAS;East Asia & Pacific;
EAP;East Asia & Pacific (excluding high income);
TEA;East Asia & Pacific (IDA & IBRD);
CSS;Caribbean small states;
ARB;Arab World;
CEB;Central Europe and the Baltics;
EMU;Euro area;
ECS;Europe & Central Asia;
ECA;Europe & Central Asia (excluding high income);
TEC;Europe & Central Asia (IDA & IBRD);
EUU;European Union;
FCS;Fragile and conflict affected situations;
IBD;IBRD only;
HPC;Heavily indebted poor countries (HIPC);
HIC;High income;
MEA;Middle East & North Africa;
MNA;Middle East & North Africa (excluding high income);
TMN;Middle East & North Africa (IDA & IBRD);
MIC;Middle income;
NAC;North America;
OED;OECD members;
OSS;Other small states;
PSS;Pacific island small states;
PST;Post-demographic dividend;
PRE;Pre-demographic dividend;
